FID,siteID,xcoord,ycoord,panel,Latitude,Longitude
146,Pt-1147,643189.656018999987282,4978860.976130000315607,OverSamp,44.948760000000000,44.948760000000000
147,Pt-1148,530377.835838000057265,4974963.954520000144839,OverSamp,44.927457390000001,44.927457390000001
148,Pt-1149,478977.948450999974739,4884124.653070000000298,OverSamp,44.110006239999997,44.110006239999997
149,Pt-1150,583017.989409000030719,4957609.089719999581575,OverSamp,44.767056220000001,44.767056220000001
150,Pt-1151,619512.296302999951877,4953043.743259999901056,OverSamp,44.720805319999997,44.720805319999997
151,Pt-1152,573850.612734999973327,4945776.545470000244677,OverSamp,44.661554660000000,44.661554660000000
152,Pt-1153,530732.869962999946438,4904775.436850000172853,OverSamp,44.295581519999999,44.295581519999999
153,Pt-1154,595585.622641999972984,4961415.929130000062287,OverSamp,44.799749679999998,44.799749679999998
154,Pt-1155,464419.366272000013851,4915015.175440000370145,OverSamp,44.387545670000002,44.387545670000002
155,Pt-1156,531191.253841000027023,4934656.683170000091195,OverSamp,44.564571450000003,44.564571450000003
156,Pt-1157,422322.058368000027258,4875037.082299999892712,OverSamp,44.024377909999998,44.024377909999998
157,Pt-1158,588413.564266999950632,4932569.066870000213385,OverSamp,44.541030180000000,44.541030180000000
158,Pt-1159,571750.473576999967918,4972184.388869999907911,OverSamp,44.899468470000002,44.899468470000002
159,Pt-1160,531526.193328000023030,4915164.802790000103414,OverSamp,44.389080440000001,44.389080440000001
160,Pt-1161,434415.555779999995138,4879784.043549999594688,OverSamp,44.068292919999998,44.068292919999998
161,Pt-1162,652056.680522999959067,4983758.709800000302494,OverSamp,44.990982840000001,44.990982840000001
162,Pt-1163,633348.061803000047803,4975411.861580000258982,OverSamp,44.919638990000003,44.919638990000003
163,Pt-1164,517096.538645999971777,4956163.050669999793172,OverSamp,44.758652830000003,44.758652830000003
164,Pt-1165,500581.317082999972627,4905275.431440000422299,OverSamp,44.300732369999999,44.300732369999999
165,Pt-1166,574710.672434999956749,4967533.052539999596775,OverSamp,44.857297809999999,44.857297809999999
166,Pt-1167,620366.999643999966793,4952236.940089999698102,OverSamp,44.713401650000002,44.713401650000002
167,Pt-1168,572817.168455000035465,4929837.273550000041723,OverSamp,44.518184150000003,44.518184150000003
168,Pt-1169,527227.888957999995910,4912492.416179999709129,OverSamp,44.365195870000001,44.365195870000001
169,Pt-1170,628145.283629999961704,4945155.219709999859333,OverSamp,44.648325679999999,44.648325679999999
170,Pt-1171,487939.763804999995045,4932002.995470000430942,OverSamp,44.541255790000001,44.541255790000001
171,Pt-1172,536024.652528999955393,4943980.502329999580979,OverSamp,44.648281420000004,44.648281420000004
172,Pt-1173,627326.938508999999613,4987813.800680000334978,OverSamp,45.032339380000003,45.032339380000003
173,Pt-1174,578595.872720999992453,4935310.659169999882579,OverSamp,44.566845360000002,44.566845360000002
174,Pt-1175,565030.575436000013724,4957305.882779999636114,OverSamp,44.766188679999999,44.766188679999999
175,Pt-1176,532814.564897999982350,4922242.311590000055730,OverSamp,44.452739299999998,44.452739299999998
176,Pt-1177,487695.642225000017788,4881429.670500000007451,OverSamp,44.085940989999997,44.085940989999997
177,Pt-1178,658492.526722999988124,4966226.962709999643266,OverSamp,44.831850039999999,44.831850039999999
178,Pt-1179,626703.669757999945432,4983263.213720000348985,OverSamp,44.991503270000003,44.991503270000003
179,Pt-1180,541342.517357000033371,4927567.340619999915361,OverSamp,44.500239940000000,44.500239940000000
180,Pt-1181,475583.977682999975514,4909142.727079999633133,OverSamp,44.335139310000002,44.335139310000002
181,Pt-1182,607011.075110999983735,4976716.161129999905825,OverSamp,44.935825979999997,44.935825979999997
182,Pt-1183,649572.702876999974251,4985519.600770000368357,OverSamp,45.007353340000002,45.007353340000002
183,Pt-1184,546508.332162000006065,4934168.391479999758303,OverSamp,44.559349580000003,44.559349580000003
184,Pt-1185,556387.086072999984026,4907990.331810000352561,OverSamp,44.322985959999997,44.322985959999997
185,Pt-1186,588010.588968000025488,4921414.027359999716282,OverSamp,44.440672429999999,44.440672429999999
186,Pt-1187,481341.291879000025801,4943374.318149999715388,OverSamp,44.643485480000002,44.643485480000002
187,Pt-1188,504203.506195999972988,4925273.046319999732077,OverSamp,44.480756730000003,44.480756730000003
188,Pt-1189,621987.014727000030689,5005760.076419999822974,OverSamp,45.194767169999999,45.194767169999999
189,Pt-1190,602267.789687999989837,4948588.161220000125468,OverSamp,44.683373940000003,44.683373940000003
190,Pt-1191,568325.600969000020996,4959522.059510000050068,OverSamp,44.785829880000001,44.785829880000001
191,Pt-1192,554456.856764000025578,5002712.391710000112653,OverSamp,45.175790319999997,45.175790319999997
192,Pt-1193,453764.208832999982405,4894549.552229999564588,OverSamp,44.202700739999997,44.202700739999997
193,Pt-1194,639182.792481999960728,5001887.626989999786019,OverSamp,45.156739379999998,45.156739379999998
194,Pt-1195,594001.076148999971338,4948355.499169999733567,OverSamp,44.682410830000002,44.682410830000002
195,Pt-1196,550757.211707000038587,4959284.967410000041127,OverSamp,44.785159210000003,44.785159210000003
196,Pt-1197,477694.758245999983046,4889067.540420000441372,OverSamp,44.154470019999998,44.154470019999998
197,Pt-1198,584685.375191000057384,4957677.930139999836683,OverSamp,44.767480360000000,44.767480360000000
198,Pt-1199,631667.585846000001766,4955727.720499999821186,OverSamp,44.742826500000000,44.742826500000000
199,Pt-1200,556655.222411999944597,4948308.053629999980330,OverSamp,44.685905779999999,44.685905779999999
200,Pt-1201,512263.664393000013661,4888904.928930000402033,OverSamp,44.153243580000002,44.153243580000002
201,Pt-1202,596501.593096000025980,4955680.255950000137091,OverSamp,44.748004100000003,44.748004100000003
202,Pt-1203,452005.148352999996860,4938619.337270000018179,OverSamp,44.599319889999997,44.599319889999997
203,Pt-1204,545520.259444999974221,4948640.381860000081360,OverSamp,44.689690550000002,44.689690550000002
204,Pt-1205,547094.948564999969676,4890847.032619999721646,OverSamp,44.169312949999998,44.169312949999998
205,Pt-1206,591271.516633999999613,4946612.746670000255108,OverSamp,44.667077470000002,44.667077470000002
206,Pt-1207,466518.511669999978039,4951963.169130000285804,OverSamp,44.720265910000002,44.720265910000002
207,Pt-1208,502471.388236999977380,4944861.470300000160933,OverSamp,44.657111639999997,44.657111639999997
208,Pt-1209,456480.165373000025284,4908793.150290000252426,OverSamp,44.331098400000002,44.331098400000002
209,Pt-1210,607156.009482000023127,4987094.644079999998212,OverSamp,45.029204460000003,45.029204460000003
210,Pt-1211,641878.437885000021197,4983007.683629999868572,OverSamp,44.986333070000001,44.986333070000001
211,Pt-1212,523853.999572000000626,4959088.445279999636114,OverSamp,44.784794310000002,44.784794310000002
212,Pt-1213,471096.688214000023436,4881092.714470000006258,OverSamp,44.082440269999999,44.082440269999999
213,Pt-1214,579901.716083999956027,4949461.714680000208318,OverSamp,44.694077000000000,44.694077000000000
214,Pt-1215,617516.005498999962583,4953974.179240000434220,OverSamp,44.729508869999997,44.729508869999997
215,Pt-1216,565582.314687000005506,4941336.633829999715090,OverSamp,44.622391579999999,44.622391579999999
216,Pt-1217,532889.235890000010841,4909552.291729999706149,OverSamp,44.338492109999997,44.338492109999997
217,Pt-1218,597900.207960000028834,4966971.422020000405610,OverSamp,44.849436249999997,44.849436249999997
218,Pt-1219,450960.208074999973178,4924117.234629999846220,OverSamp,44.468699440000002,44.468699440000002
219,Pt-1220,527078.016030000057071,4944914.799530000425875,OverSamp,44.657085330000001,44.657085330000001
220,Pt-1221,426000.387304999982007,4905937.908060000278056,OverSamp,44.302929540000001,44.302929540000001
221,Pt-1222,584701.694589999970049,4937345.104070000350475,OverSamp,44.584465270000003,44.584465270000003
222,Pt-1223,553427.636670000036247,4977019.692719999700785,OverSamp,44.944603950000001,44.944603950000001
223,Pt-1224,534656.862364999949932,4920929.343879999592900,OverSamp,44.440833290000000,44.440833290000000
224,Pt-1225,441024.103280999988783,4909732.285509999841452,OverSamp,44.338461840000001,44.338461840000001
225,Pt-1226,647830.243866999982856,4960274.402580000460148,OverSamp,44.780580460000003,44.780580460000003
226,Pt-1227,639365.281812999979593,4972712.619350000284612,OverSamp,44.894198639999999,44.894198639999999
227,Pt-1228,548553.394971000030637,4930175.596509999595582,OverSamp,44.523270940000003,44.523270940000003
228,Pt-1229,487224.691682000004221,4895088.302609999664128,OverSamp,44.208904879999999,44.208904879999999
229,Pt-1230,606105.014627999975346,4975879.926490000449121,OverSamp,44.928436019999999,44.928436019999999
230,Pt-1231,620327.890780000016093,4957784.188980000093579,OverSamp,44.763328850000001,44.763328850000001
231,Pt-1232,562522.247643999988213,4914689.742469999939203,OverSamp,44.382792559999999,44.382792559999999
232,Pt-1233,526841.662954000057653,4906007.361809999682009,OverSamp,44.306826469999997,44.306826469999997
233,Pt-1234,613690.379606000031345,4947705.222869999706745,OverSamp,44.673708470000001,44.673708470000001
234,Pt-1235,500768.349560000002384,4931766.379270000383258,OverSamp,44.539226100000000,44.539226100000000
235,Pt-1236,530632.095091999974102,4943377.157279999926686,OverSamp,44.643100199999999,44.643100199999999
236,Pt-1237,613863.920677999965847,4989872.256330000236630,OverSamp,45.053154329999998,45.053154329999998
237,Pt-1238,579583.733856000006199,4934646.695480000227690,OverSamp,44.560760379999998,44.560760379999998
238,Pt-1239,568121.804067000048235,4951970.574970000423491,OverSamp,44.717876130000001,44.717876130000001
239,Pt-1240,522071.217428000003565,4924064.832840000279248,OverSamp,44.469554639999998,44.469554639999998
240,Pt-1241,490283.399132999998983,4891485.815890000201762,OverSamp,44.176518209999998,44.176518209999998
241,Pt-1242,576092.602900000056252,4961049.229150000028312,OverSamp,44.798791250000001,44.798791250000001
242,Pt-1243,621702.560951999970712,4984652.975809999741614,OverSamp,45.004884460000000,45.004884460000000
243,Pt-1244,545825.937801999971271,4918230.554499999620020,OverSamp,44.415916410000001,44.415916410000001
244,Pt-1245,476890.303981999983080,4900573.246639999561012,OverSamp,44.258031680000002,44.258031680000002
245,Pt-1246,607760.897929999977350,4953969.886409999802709,OverSamp,44.731004499999997,44.731004499999997
246,Pt-1247,422984.703808000020217,4952137.405819999985397,OverSamp,44.718476979999998,44.718476979999998
247,Pt-1248,540217.935552999959327,4937671.542419999837875,OverSamp,44.591264459999998,44.591264459999998
248,Pt-1249,544563.195229999953881,4911639.822049999609590,OverSamp,44.356662380000003,44.356662380000003
249,Pt-1250,576229.564584000036120,4926736.166950000450015,OverSamp,44.489917190000000,44.489917190000000
250,Pt-1251,498578.342958000022918,4922640.048729999922216,OverSamp,44.457063300000002,44.457063300000002
251,Pt-1252,517740.075002000026871,4942658.412290000356734,OverSamp,44.637063859999998,44.637063859999998
252,Pt-1253,616066.081072999979369,5006956.147330000065267,OverSamp,45.206530180000001,45.206530180000001
253,Pt-1254,609347.145766000030562,4942670.505780000239611,OverSamp,44.629071670000002,44.629071670000002
254,Pt-1255,554761.473715999978594,4956386.983409999869764,OverSamp,44.758777060000000,44.758777060000000
255,Pt-1256,561442.009510000003502,4989933.472190000116825,OverSamp,45.060194459999998,45.060194459999998
256,Pt-1257,645915.637803000048734,4991985.354140000417829,OverSamp,45.066288399999998,45.066288399999998
257,Pt-1258,553493.997235000017099,4951254.264290000312030,OverSamp,44.712669660000003,44.712669660000003
258,Pt-1259,590895.215183999971487,4966487.566390000283718,OverSamp,44.846008560000001,44.846008560000001
259,Pt-1260,554766.300497999996878,4920866.428500000387430,OverSamp,44.439023919999997,44.439023919999997
260,Pt-1261,475502.330534000007901,4895361.511269999668002,OverSamp,44.211064989999997,44.211064989999997
261,Pt-1262,456486.485690000001341,4960446.067259999923408,OverSamp,44.796088949999998,44.796088949999998
262,Pt-1263,577592.431294000009075,4917571.787729999981821,OverSamp,44.407278939999998,44.407278939999998
263,Pt-1264,509235.452007999992929,4937106.916009999811649,OverSamp,44.587246059999998,44.587246059999998
264,Pt-1265,463935.302987999981269,4883724.197340000420809,OverSamp,44.105814100000003,44.105814100000003
265,Pt-1266,601909.132802000036463,4939637.140039999969304,OverSamp,44.602863790000001,44.602863790000001
266,Pt-1267,482854.526601999998093,4893599.324230000376701,OverSamp,44.195409759999997,44.195409759999997
267,Pt-1268,592659.675264999968931,4955975.653459999710321,OverSamp,44.751170520000002,44.751170520000002
268,Pt-1269,644773.459265999961644,4966197.212589999660850,OverSamp,44.834497200000001,44.834497200000001
269,Pt-1270,562277.235045999987051,4935355.511730000376701,OverSamp,44.568845140000001,44.568845140000001
270,Pt-1271,599041.136913000023924,4951587.259589999914169,OverSamp,44.710819370000003,44.710819370000003
271,Pt-1272,539944.990742000052705,4942487.401879999786615,OverSamp,44.634632959999998,44.634632959999998
272,Pt-1273,416054.831956000009086,4864468.534710000269115,OverSamp,43.928549289999999,43.928549289999999
273,Pt-1274,565362.060764000052586,4981331.131830000318587,OverSamp,44.982414190000000,44.982414190000000
274,Pt-1275,609961.820631999988109,5004333.806629999540746,OverSamp,45.183911250000001,45.183911250000001
275,Pt-1276,533155.300718000042252,4955742.390069999732077,OverSamp,44.754302010000004,44.754302010000004
276,Pt-1277,488254.748225999996066,4908662.216980000026524,OverSamp,44.331128870000001,44.331128870000001
277,Pt-1278,626221.566205000039190,4959237.298960000276566,OverSamp,44.775389490000002,44.775389490000002
